"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Navigate","Quick Outline","⌘R","Editing in Structured Text Editors"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Window","Quick Switch Editor","⌘E","In Windows"
"Text Editing","Line End","⌘→","Editing Text"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing XML Source"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Navigate","Forward History","⌘]","In Windows"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Project","Build All","⌘B","In Windows"
"Database Tools","Run","⌥⌘R","Editing SQL"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Server","Publish","⌥⌘P","In Servers View"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Run/Debug","Run XSLT Transformation","⌥⌘X X","In Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Navigate","Open Resource","⌘P","In Windows"
"JavaScript Debug","Evaluate","⇧⌥E","Editing JavaScript Source"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥S","Terminal widget context"
"Text Editing","Delete Line","⌘D","Editing Text"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Task Repositories","Quick Outline","⌘R","In Tasks Editor"
"File","New menu","⌥⌘N","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Run/Debug","Debug Android Application","⇧⌥A D","In Windows"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Window","Update Project","⌥F5","In Windows"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Edit","Restore Last Selection","⇧⌃↓","Editing Java Source"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"File","New","⌘N","In Windows"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Navigate","Previous Tab","⇧⌃Tab","Editing Text"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Source","Format","⇧⌘F","Editing Java Source"
"File","Save","⌘S","In Windows"
"File","Refresh","F5","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Run/Debug","EOF","⌃D","In I/O Console"
"Navigate","Quick Outline","⌘R","PDE editor"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Edit","Incremental Find","⌘J","Editing Text"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Navigate","Next Tab","⌃Tab","Editing Text"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Terminal view commands","Terminal view insert","⌥W","Terminal widget context"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Run/Debug","Close Rendering","⌘W","In Memory View"
